Unit,Season,Bulls,Cows,Calves,Total Harvest,Total Hunters,Percent Success,Total Rec. Days,Category,Antlerless,TH23,PS23,TH22,PS22,threeyearsuccess,threeyearshunters,slope,gmu_area_sqmi,public_sqmi,percent_public,latitude,longitude,Acres,Acres Public,harvestunit,Hunters Density Per Sq. Mile,Hunters Density Per Public Sq. Mile,onx,Tags,OTC,OTCCat
751,NA,48,NA,NA,48,295,16,Not Reported,Antlered Third Rifle Seasons (No PLO or Either-sex tags included),0,281,4,245,24,15%,274,-4.000000000000001,  735,  524,71%,37.40007019749088,-107.50599569273044,"  470,619","  335,205",751 Antlered Third Rifle Seasons (No PLO or Either-sex tags included),401.2,563.2,https://webmap.onxmaps.com/hunt/map#9.45/37.4000701974909/-107.50599569273,"EM075O1R,EF075O1R,EM075O1M,EF075O1M,EM075O1A,EF075O1A,EF075O2R,EF075O3R,EM075O4R,EF075O4R,EE075P1A,EM075P4R,EF075P4R,EF751P5R,EM000U2R,EM000U3R",OTC3R,Third Season Antlered
771,NA,28,NA,NA,28,188,15,Not Reported,Antlered Third Rifle Seasons (No PLO or Either-sex tags included),0,192,11,192,16,14%,191,-0.5000000000000018,  576,  118,20%,37.12236568053539,-107.2738923628466,"  368,728","   75,504",771 Antlered Third Rifle Seasons (No PLO or Either-sex tags included),326.3,1593.5,https://webmap.onxmaps.com/hunt/map#9.45/37.1223656805354/-107.273892362847,"EM077O1R,EF077O1R,EM077O1M,EF077O1M,EM077O1A,EF077O1A,EF077O2R,EF077O3R,EM077O4R,EF077O4R,EM077P1R,EF077P1R,EE077P1A,EM077P4R,EF077P4R,EM000U2R,EM000U3R",OTC3R,Third Season Antlered
851,NA,17,NA,NA,17,61,28,Not Reported,Antlered Third Rifle Seasons (No PLO or Either-sex tags included),0,58,40,72,43,37%,64,-7.5000000000000036,  690,   90,13%,37.07928756609083,-104.8869639219515,"  441,351","   57,329",851 Antlered Third Rifle Seasons (No PLO or Either-sex tags included),88.5,681,https://webmap.onxmaps.com/hunt/map#9.45/37.0792875660908/-104.886963921952,"EE851K2R,EE851K3R,EF085L1R,EF851L1R,EF851L2R,EF851L3R,EE085O1R,EM851O1R,EE085O1M,EF085O1M,EM851O1M,EE851O1A,EF085O2R,EM851O2R,EF085O3R,EM851O3R,EE085O4R,EF085O4R,EM851O4R,EE085P1R,EF085P5R,EF085P6R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE085V1A,EF085V1A,EE851W1R,EF851W1R,EE851W2R,EF851W2R,EF851W6R,EF851W4R",OTC3R,Third Season Antlered
87,NA,20,NA,NA,22,75,29,353,All Rifle Seasons,3,91,29,85,12,23%,84,8.499999999999996,"1,950",  283,15%,40.78958518680631,-104.58813274660297,"1,248,233","  181,201",87 All Rifle Seasons,38.5,264.9,https://webmap.onxmaps.com/hunt/map#9.45/40.7895851868063/-104.588132746603,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
88,NA,0,NA,NA,0,5,0,18,All Rifle Seasons,0,8,0,2,0,0%,5,-0,"1,200",  188,16%,40.82549145790373,-103.9360505460238,"  767,825","  120,087",88 All Rifle Seasons,4.2,26.6,https://webmap.onxmaps.com/hunt/map#9.45/40.8254914579037/-103.936050546024,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
90,NA,0,NA,NA,0,5,0,39,All Rifle Seasons,0,3,0,2,0,0%,3,-0,  656,   13,2%,40.92053943146104,-102.82788923189658,"  419,556","    8,355",90 All Rifle Seasons,7.6,383,https://webmap.onxmaps.com/hunt/map#9.45/40.920539431461/-102.827889231897,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
91,NA,3,NA,NA,3,5,50,67,All Rifle Seasons,0,8,0,5,0,17%,6,25.00000000000001,  134,   24,18%,40.766819599110804,-102.96863268982088,"   85,614","   15,353",91 All Rifle Seasons,37.4,208.4,https://webmap.onxmaps.com/hunt/map#9.45/40.7668195991108/-102.968632689821,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
92,NA,0,NA,NA,0,3,0,26,All Rifle Seasons,0,8,0,NA,NA,0%,6,0,  101,    8,8%,40.93042706114952,-102.4504923234277,"   64,727","    5,084",92 All Rifle Seasons,29.7,377.7,https://webmap.onxmaps.com/hunt/map#9.45/40.9304270611495/-102.450492323428,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
93,NA,5,NA,NA,5,15,33,111,All Rifle Seasons,0,11,25,5,50,36%,10,-8.500000000000004,"1,650",   13,1%,40.7649613010467,-102.43330260192288,"1,056,279","    8,025",93 All Rifle Seasons,9.1,1196.3,https://webmap.onxmaps.com/hunt/map#9.45/40.7649613010467/-102.433302601923,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
94,NA,0,NA,NA,0,5,0,88,All Rifle Seasons,0,3,0,10,75,25%,6,-37.500000000000014,"1,265",    1,0%,40.27818060061627,-104.81211908143526,"  809,651",      592,94 All Rifle Seasons,4,NA,https://webmap.onxmaps.com/hunt/map#9.45/40.2781806006163/-104.812119081435,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
95,NA,0,NA,NA,0,3,0,77,All Rifle Seasons,0,6,0,7,0,0%,5,-0,"1,287",   27,2%,40.48492359532595,-103.72152182062482,"  823,374","   17,536",95 All Rifle Seasons,2.3,109.5,https://webmap.onxmaps.com/hunt/map#9.45/40.484923595326/-103.721521820625,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
96,NA,3,NA,NA,3,15,17,116,All Rifle Seasons,0,20,29,7,0,15%,14,8.499999999999996,  430,   19,4%,40.34764275303399,-103.70098944057077,"  275,182","   11,966",96 All Rifle Seasons,34.9,802.2,https://webmap.onxmaps.com/hunt/map#9.45/40.347642753034/-103.700989440571,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
98,NA,0,NA,NA,0,21,0,126,All Rifle Seasons,0,25,11,13,43,18%,20,-21.500000000000018,"3,089",    7,0%,40.37477382021328,-102.53445134468836,"1,977,182","    4,754",98 All Rifle Seasons,6.8,2827.2,https://webmap.onxmaps.com/hunt/map#9.45/40.3747738202133/-102.534451344688,"EE000U1A,EE087U1A,EE087U5R",OTCplainsR,Plains OTC Rifle Either Sex
