Unit,Season,Bulls,Cows,Calves,Total Harvest,Total Hunters,Percent Success,Total Rec. Days,Category,Antlerless,TH23,PS23,TH22,PS22,threeyearsuccess,threeyearshunters,slope,gmu_area_sqmi,public_sqmi,percent_public,latitude,longitude,Acres,Acres Public,harvestunit,Hunters Density Per Sq. Mile,Hunters Density Per Public Sq. Mile,onx,Tags,OTC,OTCCat
30,NA,10,NA,NA,22,162,14,933,All Archery Seasons,12,225,12,198,7,11%,195,3.4999999999999982,"1,451","1,073",74%,39.33317031774471,-108.77099754861048,"  928,827","  686,736",30 All Archery Seasons,111.6,151,https://webmap.onxmaps.com/hunt/map#9.45/39.3331703177447/-108.77099754861,"EF030L1R,EF021O1R,EM021O1R,EE021O1M,EF021O1M,EE021O1R,EF021O2R,EF030O3R,EM021O4R,EF030O4R,EE021O4R,EE021P1R,EE021P1A,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE021V1A,EF021V1A",OTCAE,Archery Either Sex
31,NA,54,NA,NA,67,342,20,2337,All Archery Seasons,13,326,8,332,20,16%,333,-1.2560739669470205e-15,"1,178",  679,58%,39.43550762747674,-108.40337625907118,"  753,712","  434,248",31 All Archery Seasons,290.4,504,https://webmap.onxmaps.com/hunt/map#9.45/39.4355076274767/-108.403376259071,"EF031L1R,EF021O1R,EM021O1R,EE021O1M,EF021O1M,EE021O1R,EF021O2R,EF030O3R,EM021O4R,EF030O4R,EE021O4R,EE021P1R,EE021P1A,EF022P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE021V1A,EF021V1A",OTCAE,Archery Either Sex
32,NA,54,NA,NA,64,410,16,2801,All Archery Seasons,10,317,26,335,11,18%,354,2.4999999999999947,  507,  199,39%,39.56439704833727,-108.03367958650692,"  324,575","  127,531",32 All Archery Seasons,808.4,2057.5,https://webmap.onxmaps.com/hunt/map#9.45/39.5643970483373/-108.033679586507,"EF021O1R,EM021O1R,EE021O1M,EF021O1M,EE021O1R,EF021O2R,EF030O3R,EM021O4R,EF030O4R,EE021O4R,EE021P1R,EE021P1A,EF022P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE021V1A,EF021V1A",OTCAE,Archery Either Sex
34,NA,23,NA,NA,29,355,8,2193,All Archery Seasons,6,455,3,553,9,7%,454,-0.5000000000000011,  326,  300,92%,39.652666661531555,-107.28484773044072,"  208,574","  191,998",34 All Archery Seasons,1089.3,1183.3,https://webmap.onxmaps.com/hunt/map#9.45/39.6526666615316/-107.284847730441,"EM011O1R,EF025O1R,EE025O1M,EF025O1M,EF034O2R,EF034O3R,EM034O4R,EF034O4R,EE011P1R,EE011P1A,EF034P5R,EE000U1A,EM000U2R,EM000U3R,EE025V1A",OTCAE,Archery Either Sex
35,NA,23,NA,NA,23,208,11,1309,All Archery Seasons,0,228,5,256,4,7%,231,3.500000000000001,  454,  318,70%,39.76679410067051,-106.8467406140102,"  290,807","  203,440",35 All Archery Seasons,457.8,654.3,https://webmap.onxmaps.com/hunt/map#9.45/39.7667941006705/-106.84674061401,"EF035L1R,EE035O1R,EF035O1R,EM035O1M,EF035O1M,EF035O2R,EF035O3R,EE035O4R,EF035O4R,EE035P1R,EF035P5R,EE000U1A,EM000U2R,EM000U3R,EE035V1A,EE025W1R,EF025W1R,EF025W2R",OTCAE,Archery Either Sex
36,NA,47,NA,NA,50,419,12,2620,All Archery Seasons,3,489,5,565,7,8%,491,2.5,  466,  382,82%,39.718194149812135,-106.4709142423834,"  298,111","  244,523",36 All Archery Seasons,899.5,1096.7,https://webmap.onxmaps.com/hunt/map#9.45/39.7181941498121/-106.470914242383,"EF035L1R,EE035O1R,EF035O1R,EM035O1M,EF035O1M,EF036O2R,EF036O3R,EE036O4R,EF036O4R,EE035P1R,EF036P5R,EE000U1A,EM000U2R,EM000U3R,EE035V1A",OTCAE,Archery Either Sex
37,NA,26,NA,NA,44,796,5,5409,All Archery Seasons,18,777,5,776,5,5%,783,-7.691850745534258e-16,  893,  632,71%,39.661674617570846,-106.12577248241035,"  571,360","  404,353",37 All Archery Seasons,891.6,1259.9,https://webmap.onxmaps.com/hunt/map#9.45/39.6616746175708/-106.12577248241,"EE028O1R,EF028O1R,EE028O1M,EF028O1M,EF028O2R,EF028O3R,EE028O4R,EF028O4R,EE028P1R,EE028P1A,EE028P4R,EF028P5R,EE000U1A,EM000U2R,EM000U3R,EE028V1A",OTCAE,Archery Either Sex
38,NA,23,NA,NA,32,478,7,3582,All Archery Seasons,9,510,10,454,7,8%,481,-1.2560739669470205e-15,  774,  237,31%,39.82568147662041,-105.36350087351084,"  495,372","  151,588",38 All Archery Seasons,617.6,2018.1,https://webmap.onxmaps.com/hunt/map#9.45/39.8256814766204/-105.363500873511,"EF038L1R,EF038L2R,EM038O1R,EF038O1R,EM038O1M,EF038O1M,EF038O2R,EF038O3R,EM038O4R,EF038O4R,EF038P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE038V1A,EF038V1A",OTCAE,Archery Either Sex
43,NA,63,NA,NA,77,921,8,6752,All Archery Seasons,13,1058,8,1089,8,8%,1023,-0,"1,244",  908,73%,39.22614533593483,-107.1376260233469,"  796,327","  581,421",43 All Archery Seasons,740.2,1013.8,https://webmap.onxmaps.com/hunt/map#9.45/39.2261453359348/-107.137626023347,"EE043O1R,EF043O1R,EM043O1M,EF043O1M,EF043O2R,EF043O3R,EE043O4R,EF043O4R,EE043P1R,EF043P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE043V1A,EF043V1A",OTCAE,Archery Either Sex
53,NA,94,NA,NA,148,1018,15,7284,All Archery Seasons,54,1170,10,1174,10,12%,1121,2.499999999999999,  654,  502,77%,38.80692865630043,-107.42091057473463,"  418,286","  321,541",53 All Archery Seasons,1557.6,2026.2,https://webmap.onxmaps.com/hunt/map#9.45/38.8069286563004/-107.420910574735,"EM053O1R,EF053O1R,EM053O1M,EF053O1M,EF053O2R,EF053O3R,EM053O4R,EF053O4R,EE053P1R,EE053P4R,EF053P5R,EE000U1A,EM000U2R,EM000U3R,EE053V1A",OTCAE,Archery Either Sex
59,NA,33,NA,NA,36,258,14,1643,All Archery Seasons,3,278,5,246,8,9%,261,3.000000000000001,"1,062",  359,34%,38.63553152685768,-104.93071633472243,"  679,587","  229,780",59 All Archery Seasons,243,718.6,https://webmap.onxmaps.com/hunt/map#9.45/38.6355315268577/-104.930716334722,"EM059O1R,EF059O1R,EM059O1M,EF059O1M,EF059O2R,EF059O3R,EM059O4R,EF059O4R,EF059P5R,EE000U1A,EM000U2R,EM000U3R,EE059V1A,EF059V1A",OTCAE,Archery Either Sex
60,NA,13,NA,NA,13,62,21,473,All Archery Seasons,0,52,5,40,19,15%,51,1.0000000000000009,  388,  324,83%,38.49077774149176,-108.96862146303388,"  248,568","  207,519",60 All Archery Seasons,159.6,191.2,https://webmap.onxmaps.com/hunt/map#9.45/38.4907777414918/-108.968621463034,"EM060O1R,EF060O1R,EM060O1M,EF060O1M,EF060O2R,EF060O3R,EE060O4R,EF060O4R,EE060P1R,EE060P4R,EF060P5R,EF060P6R,EE000U1A,EM000U2R,EM000U3R,EE060V1A",OTCAE,Archery Either Sex
62,NA,231,NA,NA,345,2365,15,18636,All Archery Seasons,114,2270,14,1904,13,14%,2180,0.9999999999999978,"2,253","1,570",70%,38.53642636979747,-108.21759216987664,"1,441,839","1,004,509",62 All Archery Seasons,1049.8,1506.8,https://webmap.onxmaps.com/hunt/map#9.45/38.5364263697975/-108.217592169877,"EM062O1R,EF062O1R,EM062O1M,EF062O1M,EF062O2R,EF062O3R,EE062O4R,EF062O4R,EE062P1R,EE062P1A,EF062P2R,EF062P3R,EE062P4R,EF062P4R,EE000U1A,EM000U2R,EM000U3R,EE062V1A",OTCAE,Archery Either Sex
63,NA,71,NA,NA,114,559,20,3766,All Archery Seasons,44,533,13,480,16,16%,524,2,  606,  299,49%,38.62453940161764,-107.61512352326248,"  387,568","  191,115",63 All Archery Seasons,923.1,1872,https://webmap.onxmaps.com/hunt/map#9.45/38.6245394016176/-107.615123523262,"EM063O1R,EF063O1R,EM063O1M,EF063O1M,EF063O2R,EF063O3R,EM063O4R,EF063O4R,EE053P1R,EE053P4R,EF063P5R,EF053P5R,EE000U1A,EM000U2R,EM000U3R,EE063V1A",OTCAE,Archery Either Sex
64,NA,10,NA,NA,10,111,9,531,All Archery Seasons,0,143,6,104,4,6%,119,2.5,  441,  164,37%,38.588762178656246,-107.81300426936494,"  282,369","  105,148",64 All Archery Seasons,251.6,675.6,https://webmap.onxmaps.com/hunt/map#9.45/38.5887621786562/-107.813004269365,"EE064O1R,EF064O1R,EM064O1M,EF064O1M,EF064O2R,EF064O3R,EE064O4R,EF064O4R,EE064P1R,EF064P1R,EE064P1A,EF064P2R,EF064P3R,EE064P4R,EF064P4R,EF064P5R,EE000U1A,EM000U2R,EM000U3R,EE064V1A",OTCAE,Archery Either Sex
65,NA,101,NA,NA,141,968,15,6724,All Archery Seasons,40,1101,8,1184,9,11%,1084,3.000000000000001,"1,089",  577,53%,38.207575030010986,-107.64883908520822,"  697,180","  369,556",65 All Archery Seasons,888.6,1676.4,https://webmap.onxmaps.com/hunt/map#9.45/38.207575030011/-107.648839085208,"EE064O1R,EF064O1R,EM064O1M,EF064O1M,EF064O2R,EF064O3R,EE064O4R,EF064O4R,EE064P1R,EF064P1R,EE064P1A,EF064P2R,EF064P3R,EE064P4R,EF064P4R,EE000U1A,EM000U2R,EM000U3R,EE064V1A",OTCAE,Archery Either Sex
68,NA,34,NA,NA,50,734,7,5589,All Archery Seasons,17,715,5,845,5,6%,765,1,  973,  831,85%,38.010223347673545,-106.4544830480559,"  622,756","  532,095",68 All Archery Seasons,754.3,882.8,https://webmap.onxmaps.com/hunt/map#9.45/38.0102233476735/-106.454483048056,"EM068O1R,EM068O1M,EF068O1M,EF068O2R,EF068O3R,EM068O4R,EF068O4R,EF068P5R,EE000U1A,EM000U2R,EM000U3R,EE068V1A",OTCAE,Archery Either Sex
79,NA,20,NA,NA,33,352,9,2334,All Archery Seasons,13,388,8,382,6,8%,374,1.4999999999999998,  814,  496,61%,37.777894865424095,-106.44217365800988,"  520,743","  317,154",79 All Archery Seasons,432.6,710.3,https://webmap.onxmaps.com/hunt/map#9.45/37.7778948654241/-106.44217365801,"EM079O1R,EF079O1R,EM079O1M,EF079O1M,EM079O2R,EF079O2R,EM079O3R,EF079O3R,EF079O4R,EE000U1A,EE079V1A",OTCAE,Archery Either Sex
82,NA,30,NA,NA,39,485,8,3120,All Archery Seasons,9,718,7,646,12,9%,616,-2.0000000000000004,"1,751",  972,56%,37.87394169273942,-105.73015996019376,"1,120,579","  622,224",82 All Archery Seasons,277,498.9,https://webmap.onxmaps.com/hunt/map#9.45/37.8739416927394/-105.730159960194,"EE082O1R,EF082O1R,EE082O1M,EF082O1M,EF682O1M,EF082O2R,EF082O3R,EE082O4R,EF082O4R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE082V1A,EF082V1A",OTCAE,Archery Either Sex
83,NA,30,NA,NA,34,181,19,1121,All Archery Seasons,3,184,23,240,35,26%,202,-8.000000000000007,"1,982",  109,6%,37.290712866857,-105.44863371660696,"1,268,265","   69,764",83 All Archery Seasons,91.3,1660.4,https://webmap.onxmaps.com/hunt/map#9.45/37.290712866857/-105.448633716607,"EE083O1R,EE083O1M,EF083O1M,EE083O2R,EE083O3R,EE083O4R,EF083O4R,EE000U1A,EE083V1A",OTCAE,Archery Either Sex
85,NA,168,NA,NA,183,1086,17,8793,All Archery Seasons,15,1051,10,1200,10,12%,1112,3.499999999999999,"1,866",  280,15%,37.42278485238103,-104.9009267551865,"1,194,176","  179,086",85 All Archery Seasons,582,3881,https://webmap.onxmaps.com/hunt/map#9.45/37.422784852381/-104.900926755187,"EF085L1R,EE085O1R,EE085O1M,EF085O1M,EF085O2R,EF085O3R,EE085O4R,EF085O4R,EE085P1R,EF085P5R,EF085P6R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE085V1A,EF085V1A,EE084W1R,EF084W1R,EF084W3R,EF084W5R,EE085W1R,EF085W1R",OTCAE,Archery Either Sex
86,NA,33,NA,NA,49,646,8,4619,All Archery Seasons,17,790,8,723,7,8%,720,0.49999999999999967,  801,  445,56%,38.215358434113504,-105.66933804392954,"  512,901","  284,886",86 All Archery Seasons,806.1,1451.2,https://webmap.onxmaps.com/hunt/map#9.45/38.2153584341135/-105.66933804393,"EE086O1R,EE086O1M,EF086O1M,EF086O2R,EF086O3R,EE086O4R,EF086O4R,EE086P1R,EF086P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE086V1A,EF086V1A",OTCAE,Archery Either Sex
87,NA,0,NA,NA,0,7,0,27,All Archery Seasons,0,3,0,7,0,0%,6,-0,"1,950",  283,15%,40.78958518680631,-104.58813274660297,"1,248,233","  181,201",87 All Archery Seasons,3.6,24.7,https://webmap.onxmaps.com/hunt/map#9.45/40.7895851868063/-104.588132746603,"EE000U1A,EE087U1A,EE087U5R",OTCAE,Archery Either Sex
89,NA,0,NA,NA,0,3,0,14,All Archery Seasons,0,4,0,3,0,0%,3,-0,"1,352",   59,4%,40.81542938295689,-103.40853194542626,"  865,193","   37,566",89 All Archery Seasons,2.2,51.1,https://webmap.onxmaps.com/hunt/map#9.45/40.8154293829569/-103.408531945426,"EE000U1A,EE087U1A,EE087U5R",OTCAE,Archery Either Sex
91,NA,0,NA,NA,0,3,0,19,All Archery Seasons,0,NA,NA,NA,NA,0%,3,NA,  134,   24,18%,40.766819599110804,-102.96863268982088,"   85,614","   15,353",91 All Archery Seasons,22.4,125.1,https://webmap.onxmaps.com/hunt/map#9.45/40.7668195991108/-102.968632689821,"EE000U1A,EE087U1A,EE087U5R",OTCAE,Archery Either Sex
92,NA,0,NA,NA,0,3,0,17,All Archery Seasons,0,NA,NA,NA,NA,0%,3,NA,  101,    8,8%,40.93042706114952,-102.4504923234277,"   64,727","    5,084",92 All Archery Seasons,29.7,377.7,https://webmap.onxmaps.com/hunt/map#9.45/40.9304270611495/-102.450492323428,"EE000U1A,EE087U1A,EE087U5R",OTCAE,Archery Either Sex
94,NA,0,NA,NA,0,7,0,44,All Archery Seasons,0,NA,NA,3,0,0%,5,0,"1,265",    1,0%,40.27818060061627,-104.81211908143526,"  809,651",      592,94 All Archery Seasons,5.5,NA,https://webmap.onxmaps.com/hunt/map#9.45/40.2781806006163/-104.812119081435,"EE000U1A,EE087U1A,EE087U5R",OTCAE,Archery Either Sex
105,NA,0,NA,NA,0,3,0,13,All Archery Seasons,0,6,0,4,0,0%,4,-0,"1,915",    5,0%,39.38538285547086,-104.19527510587795,"1,225,705","    3,465",105 All Archery Seasons,1.6,554.1,https://webmap.onxmaps.com/hunt/map#9.45/39.3853828554709/-104.195275105878,"EE000U1A,EE087U1A,EE087U5R,EE104W1R,EF104W1R,EF104W2R",OTCAE,Archery Either Sex
111,NA,0,NA,NA,0,3,0,17,All Archery Seasons,0,NA,NA,NA,NA,0%,3,NA,"1,141",    0,0%,39.00947835744555,-103.96016952409684,"  730,191",       66,111 All Archery Seasons,2.6,NA,https://webmap.onxmaps.com/hunt/map#9.45/39.0094783574456/-103.960169524097,"EE000U1A,EE087U1A,EE087U5R",OTCAE,Archery Either Sex
113,NA,0,NA,NA,0,3,0,34,All Archery Seasons,0,4,0,NA,NA,0%,4,0,  350,    6,2%,38.95147988789797,-103.35258967349426,"  223,953","    4,131",113 All Archery Seasons,8.6,464.8,https://webmap.onxmaps.com/hunt/map#9.45/38.951479887898/-103.352589673494,"EE000U1A,EE087U1A,EE087U5R",OTCAE,Archery Either Sex
114,NA,3,NA,NA,3,3,100,34,All Archery Seasons,0,6,0,10,0,33%,6,50.00000000000002,  928,    0,0%,39.11174628426887,-103.23695991130477,"  594,144",        0,114 All Archery Seasons,3.2,NA,https://webmap.onxmaps.com/hunt/map#9.45/39.1117462842689/-103.236959911305,"EE000U1A,EE087U1A,EE087U5R",OTCAE,Archery Either Sex
115,NA,0,NA,NA,0,3,0,19,All Archery Seasons,0,NA,NA,3,0,0%,3,0,  599,    0,0%,39.02833659953873,-102.92526392344112,"  383,304",        0,115 All Archery Seasons,5,NA,https://webmap.onxmaps.com/hunt/map#9.45/39.0283365995387/-102.925263923441,"EE000U1A,EE087U1A,EE087U5R",OTCAE,Archery Either Sex
116,NA,0,NA,NA,0,3,0,27,All Archery Seasons,0,4,0,NA,NA,0%,4,0,"1,598",    0,0%,39.06453077598625,-102.57408674407786,"1,022,639",        0,116 All Archery Seasons,1.9,NA,https://webmap.onxmaps.com/hunt/map#9.45/39.0645307759862/-102.574086744078,"EE000U1A,EE087U1A,EE087U5R",OTCAE,Archery Either Sex
117,NA,0,NA,NA,0,6,0,45,All Archery Seasons,0,10,0,6,0,0%,7,-0,  746,    0,0%,39.064815886703094,-102.17788555291712,"  477,253",       63,117 All Archery Seasons,8,NA,https://webmap.onxmaps.com/hunt/map#9.45/39.0648158867031/-102.177885552917,"EE000U1A,EE087U1A,EE087U5R",OTCAE,Archery Either Sex
118,NA,0,NA,NA,0,7,0,56,All Archery Seasons,0,13,0,4,0,0%,8,-0,  827,   23,3%,38.71703080512228,-104.47671942847616,"  529,573","   14,809",118 All Archery Seasons,8.5,302.5,https://webmap.onxmaps.com/hunt/map#9.45/38.7170308051223/-104.476719428476,"EE000U1A,EE087U1A,EE087U5R",OTCAE,Archery Either Sex
128,NA,3,NA,NA,3,30,11,159,All Archery Seasons,0,34,0,36,15,9%,33,-2.0000000000000004,"1,996",   72,4%,37.97563885232004,-104.45088760496616,"1,277,696","   45,936",128 All Archery Seasons,15,418,https://webmap.onxmaps.com/hunt/map#9.45/37.97563885232/-104.450887604966,"EF128L1R,EE128O1M,EE000U1A,EE087U1A,EM128U5R",OTCAE,Archery Either Sex
130,NA,0,NA,NA,0,3,0,17,All Archery Seasons,0,NA,NA,NA,NA,0%,3,NA,  779,   63,8%,37.85291846877794,-103.32640631022493,"  498,242","   40,117",130 All Archery Seasons,3.9,47.9,https://webmap.onxmaps.com/hunt/map#9.45/37.8529184687779/-103.326406310225,"EE000U1A,EE087U1A,EE087U5R",OTCAE,Archery Either Sex
131,NA,37,NA,NA,57,309,18,2211,All Archery Seasons,20,314,10,375,21,16%,333,-1.5000000000000013,  334,   36,11%,40.3547959364852,-106.98289361365448,"  213,465","   22,733",131 All Archery Seasons,926.4,8699.1,https://webmap.onxmaps.com/hunt/map#9.45/40.3547959364852/-106.982893613654,"EM011O1R,EF011O1R,EE011O1M,EF011O1M,EM011O2R,EF131O2R,EM011O3R,EF131O3R,EM131O4R,EF131O4R,EE011P1R,EE011P1A,EF131P2R,EF131P3R,EF131P4R,EF131P5R,EE000U1A,EM000U2R,EM000U3R,EE011V1A",OTCAE,Archery Either Sex
133,NA,7,NA,NA,7,24,29,123,All Archery Seasons,0,18,0,16,41,23%,19,-6.0000000000000036,  920,   30,3%,37.62023701702331,-104.44356098402986,"  588,528","   19,015",133 All Archery Seasons,26.1,807.8,https://webmap.onxmaps.com/hunt/map#9.45/37.6202370170233/-104.44356098403,"EF133L1R,EE133O1M,EF133O1M,EM133O4R,EE000U1A,EF000U1A,EE087U1A,EF133U1A,EM000U2R,EM000U3R",OTCAE,Archery Either Sex
134,NA,3,NA,NA,7,10,67,100,All Archery Seasons,3,7,50,15,0,39%,11,33.50000000000001,  632,    4,1%,37.455709017216144,-104.30938640767955,"  404,550","    2,726",134 All Archery Seasons,15.8,2347.7,https://webmap.onxmaps.com/hunt/map#9.45/37.4557090172161/-104.30938640768,"EF133L1R,EE133O1M,EF133O1M,EM133O4R,EE000U1A,EF000U1A,EE087U1A,EF133U1A,EM000U2R,EM000U3R",OTCAE,Archery Either Sex
135,NA,0,NA,NA,0,10,0,27,All Archery Seasons,0,3,0,NA,NA,0%,6,0,"1,189",  380,32%,37.78842899277512,-103.80693713572316,"  760,773","  243,316",135 All Archery Seasons,8.4,26.3,https://webmap.onxmaps.com/hunt/map#9.45/37.7884289927751/-103.806937135723,"EE000U1A,EE087U1A,EE087U5R",OTCAE,Archery Either Sex
136,NA,0,NA,NA,0,3,0,6,All Archery Seasons,0,NA,NA,4,0,0%,4,0,  906,   57,6%,37.43809979394027,-103.50601797008127,"  579,521","   36,609",136 All Archery Seasons,3.3,52.4,https://webmap.onxmaps.com/hunt/map#9.45/37.4380997939403/-103.506017970081,"EE000U1A,EE087U1A,EE087U5R",OTCAE,Archery Either Sex
137,NA,0,NA,NA,0,3,0,17,All Archery Seasons,0,NA,NA,3,100,50%,3,-49.999999999999986,  918,   83,9%,37.45000859320783,-103.13012193784876,"  587,674","   53,226",137 All Archery Seasons,3.3,36.1,https://webmap.onxmaps.com/hunt/map#9.45/37.4500085932078/-103.130121937849,"EE000U1A,EE087U1A,EE087U5R",OTCAE,Archery Either Sex
140,NA,33,NA,NA,37,122,30,842,All Archery Seasons,4,161,25,206,22,26%,163,3.9999999999999964,  723,   33,5%,37.09455404038734,-104.2229487686456,"  462,543","   21,286",140 All Archery Seasons,168.8,3668.1,https://webmap.onxmaps.com/hunt/map#9.45/37.0945540403873/-104.222948768646,"EF085L1R,EE085O1R,EE085O1M,EF085O1M,EF085O2R,EF085O3R,EE085O4R,EF085O4R,EE085P1R,EF085P5R,EF085P6R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE085V1A,EF085V1A",OTCAE,Archery Either Sex
141,NA,3,NA,NA,7,20,33,119,All Archery Seasons,3,11,33,12,0,22%,14,16.5,  378,    1,0%,37.29565413878794,-104.14405079302742,"  241,723",      594,141 All Archery Seasons,53,NA,https://webmap.onxmaps.com/hunt/map#9.45/37.2956541387879/-104.144050793027,"EF133L1R,EE133O1M,EF133O1M,EM133O4R,EE000U1A,EF000U1A,EE087U1A,EF133U1A,EM000U2R,EM000U3R",OTCAE,Archery Either Sex
142,NA,0,NA,NA,0,10,0,37,All Archery Seasons,0,46,0,8,0,0%,21,-0,  586,    1,0%,37.49722632165355,-103.91826853715182,"  375,065",      477,142 All Archery Seasons,17.1,NA,https://webmap.onxmaps.com/hunt/map#9.45/37.4972263216535/-103.918268537152,"EF142L1R,EE133O1M,EF133O1M,EM133O4R,EE000U1A,EF000U1A,EE087U1A,EF133U1A,EM000U2R,EM000U3R",OTCAE,Archery Either Sex
143,NA,0,NA,NA,0,3,0,27,All Archery Seasons,0,NA,NA,3,0,0%,3,0,"1,087",   43,4%,37.11660176899627,-103.44481928062228,"  695,925","   27,241",143 All Archery Seasons,2.8,70.5,https://webmap.onxmaps.com/hunt/map#9.45/37.1166017689963/-103.444819280622,"EE000U1A,EE087U1A,EE087U5R",OTCAE,Archery Either Sex
147,NA,0,NA,NA,0,3,0,10,All Archery Seasons,0,NA,NA,NA,NA,0%,3,NA,  512,   18,4%,37.31276051140567,-103.82325120783086,"  327,593","   11,831",147 All Archery Seasons,5.9,162.3,https://webmap.onxmaps.com/hunt/map#9.45/37.3127605114057/-103.823251207831,"EE000U1A,EE087U1A,EE087U5R",OTCAE,Archery Either Sex
161,NA,40,NA,NA,74,730,10,5463,All Archery Seasons,34,1021,4,1116,6,7%,956,2,  714,  531,74%,40.87823554952699,-106.5314186789568,"  457,058","  339,930",161 All Archery Seasons,1022.2,1374.4,https://webmap.onxmaps.com/hunt/map#9.45/40.878235549527/-106.531418678957,"EE006O1R,EF006O1R,EE006O1M,EF006O1M,EF006O2R,EF161O3R,EE161O4R,EF161O4R,EE006P1R,EF006P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE006V1A,EF006V1A,EE006W1R,EF006W1R,EF006W2R,EF006W3R,EF006W4R",OTCAE,Archery Either Sex
171,NA,17,NA,NA,24,546,4,3511,All Archery Seasons,7,611,4,577,6,5%,578,-1.0000000000000009,  444,  339,76%,40.51331220378768,-106.10143313372352,"  284,160","  216,814",171 All Archery Seasons,1229.7,1611.7,https://webmap.onxmaps.com/hunt/map#9.45/40.5133122037877/-106.101433133724,"EE006O1R,EF006O1R,EE006O1M,EF006O1M,EF006O2R,EF017O3R,EF017O4R,EE171O4R,EE006P1R,EF006P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE006V1A,EF006V1A,EE006W1R,EF006W1R,EF006W2R,EF006W3R,EF006W4R",OTCAE,Archery Either Sex
181,NA,3,NA,NA,10,302,3,1580,All Archery Seasons,7,363,4,404,7,5%,356,-2.0000000000000013,  313,  187,60%,40.233714818332615,-106.3873715171488,"  200,051","  119,416",181 All Archery Seasons,966.2,1618.5,https://webmap.onxmaps.com/hunt/map#9.45/40.2337148183326/-106.387371517149,"EF181L1R,EE018O1R,EF018O1R,EE018O1M,EF018O1M,EF181O2R,EF181O3R,EE018O4R,EF181O4R,EE018P1R,EE018P4R,EF181P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE018V1A,EF018V1A",OTCAE,Archery Either Sex
211,NA,74,NA,NA,103,376,27,2196,All Archery Seasons,30,417,16,356,29,24%,383,-1.0000000000000036,  743,  330,44%,40.29880865977781,-107.91969962140058,"  475,697","  210,889",211 All Archery Seasons,505.9,1141.1,https://webmap.onxmaps.com/hunt/map#9.45/40.2988086597778/-107.919699621401,"EF211L1R,EM011O1R,EF011O1R,EE011O1M,EF011O1M,EF011O2R,EM011O2R,EM011O3R,EF011O3R,EM011O4R,EF011O4R,EE011P1R,EE011P1A,EF011P5R,EE000U1A,EM000U2R,EM000U3R,EE011V1A,EE011W1R,EF011W1R,EF011W3R,EE211W1R,EF211W1R",OTCAE,Archery Either Sex
214,NA,40,NA,NA,60,449,13,2972,All Archery Seasons,20,525,11,572,15,13%,515,-1.0000000000000022,  401,   90,22%,40.642251620729446,-107.00814944638188,"  256,679","   57,506",214 All Archery Seasons,1119.5,4997,https://webmap.onxmaps.com/hunt/map#9.45/40.6422516207294/-107.008149446382,"EF003O1R,EM214O1R,EE014O1M,EF014O1M,EM003O2R,EF214O2R,EM003O3R,EF214O3R,EM214O4R,EF214O4R,EE003P1R,EE003P1A,EF014P5R,EM000U2R,EM000U3R,EE014V1A,EF214W5R,EF441W2R,EE441W1R,EF441W1R,EF441W3R,EE214W2R,EF214W2R,EF214W4R,EE214W1R,EF214W1R,EF214W3R",OTCAE,Archery Either Sex
231,NA,57,NA,NA,87,738,12,4670,All Archery Seasons,30,815,5,1002,6,8%,852,3.000000000000001,  306,  194,63%,40.167070670182646,-107.09189663437051,"  195,650","  124,189",231 All Archery Seasons,2414.1,3803.2,https://webmap.onxmaps.com/hunt/map#9.45/40.1670706701826/-107.091896634371,"EM011O1R,EF011O1R,EE025O1M,EF025O1M,EM011O2R,EF231O2R,EM011O3R,EF231O3R,EM231O4R,EF231O4R,EE011P1R,EE011P1A,EE231P2R,EE231P3R,EE231P4R,EF025P5R,EE000U1A,EM000U2R,EM000U3R,EE025V1A",OTCAE,Archery Either Sex
301,NA,3,NA,NA,3,23,15,184,All Archery Seasons,0,44,8,36,0,8%,34,7.500000000000001,  641,   82,13%,40.583051909491914,-107.68891866903346,"  410,309","   52,491",301 All Archery Seasons,35.9,280.4,https://webmap.onxmaps.com/hunt/map#9.45/40.5830519094919/-107.688918669033,"EF003L1R,EF003O1R,EM003O1R,EE003O1M,EF003O1M,EE003O1R,EM003O2R,EF003O2R,EM003O3R,EF003O3R,EM003O4R,EF003O4R,EE003O4R,EE003P1R,EE003P1A,EF003P5R,EE000U1A,EF000U1A,EM000U2R,EM000U3R,EE003V1A,EF301W4R,EF441W2R,EF003W5R,EF004W5R,EE441W1R,EF441W1R,EF441W3R,EE214W2R,EF214W2R,EF214W4R,EE003W1R,EE003W3R,EF003W1R,EF003W3R,EE301W1R,EF301W1R,EF301W3R,EE301W2R,EF301W2R,EE004W1R,EE004W3R,EF004W1R,EF004W3R",OTCAE,Archery Either Sex
