Unit,CategoryOldHarv,BucksOldHarv,AntlerlessOldHarv,Total HarvestOldHarv,Total HuntersOldHarv,Percent SuccessOldHarv,Total Rec. DaysOldHarv,TH23OldHarv,PS23OldHarv,TH22OldHarv,PS22OldHarv,threeyearsuccessOldHarv,threeyearshuntersOldHarv,slopeOldHarv,UnitListOldHarv,gmu_area_sqmiOldHarv,public_sqmiOldHarv,percent_publicOldHarv,latitudeOldHarv,longitudeOldHarv,AcresOldHarv,Acres PublicOldHarv,harvestunitOldHarv,Hunters Density Per Sq. MileOldHarv,Hunters Density Per Public Sq. MileOldHarv,onxOldHarv,TagsOldHarv,OTCCat,OTCOldHarv,DAU,Total_Hunters_estimate,Total_Hunters_SE,Total_Hunters_LCL,Total_Hunters_UCL,Total_Harvest_estimate,Total_Harvest_SE,Total_Harvest_LCL,Total_Harvest_UCL,Success_DAU,Total_Days_estimate,SE,LCL,UCL,Sample_Rate,Response_Rate,gmu_area_sqmi,public_sqmi,percent_public,latitude,longitude,Acres,Acres Public,Herd Name,Post Hunt Estimate,Buck/ Doe ratio (per 100),onx
24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4564,32,4502,4564,2363,63,2242,2490,0.52,21069,373,20350,21813,0.5,0.56,  747.94858,  693.6942674606,93%,39.95887536401253,-107.40232150538192,"  478,687.09","  443,964.33117477",White River,23520,29,https://webmap.onxmaps.com/hunt/map#9.45/39.9588753640125/-107.402321505382
131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4564,32,4502,4564,2363,63,2242,2490,0.52,21069,373,20350,21813,0.5,0.56,  333.53900,   35.5207765291,11%,40.3547959364852,-106.98289361365448,"  213,464.96","   22,733.29697860",White River,23520,29,https://webmap.onxmaps.com/hunt/map#9.45/40.3547959364852/-106.982893613654
211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4564,32,4502,4564,2363,63,2242,2490,0.52,21069,373,20350,21813,0.5,0.56,  743.27653,  329.5141106482,44%,40.29880865977781,-107.91969962140058,"  475,696.98","  210,889.03081485",White River,23520,29,https://webmap.onxmaps.com/hunt/map#9.45/40.2988086597778/-107.919699621401
231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4564,32,4502,4564,2363,63,2242,2490,0.52,21069,373,20350,21813,0.5,0.56,  305.70314,  194.0457232992,63%,40.167070670182646,-107.09189663437051,"  195,650.01","  124,189.26291147",White River,23520,29,https://webmap.onxmaps.com/hunt/map#9.45/40.1670706701826/-107.091896634371
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3976,49,3882,4000,1566,63,1447,1695,0.39,17421,385,16682,18193,0.44,0.54,  843.34767,  549.8785183255,65%,40.14756246676384,-106.73103073997014,"  539,742.51","  351,922.25172829",State Bridge,12920,24,https://webmap.onxmaps.com/hunt/map#9.45/40.1475624667638/-106.73103073997
35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3976,49,3882,4000,1566,63,1447,1695,0.39,17421,385,16682,18193,0.44,0.54,  454.38641,  317.8742744800,70%,39.76679410067051,-106.8467406140102,"  290,807.31","  203,439.53566720",State Bridge,12920,24,https://webmap.onxmaps.com/hunt/map#9.45/39.7667941006705/-106.84674061401
36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3976,49,3882,4000,1566,63,1447,1695,0.39,17421,385,16682,18193,0.44,0.54,  465.79848,  382.0673946809,82%,39.718194149812135,-106.4709142423834,"  298,111.03","  244,523.13259577",State Bridge,12920,24,https://webmap.onxmaps.com/hunt/map#9.45/39.7181941498121/-106.470914242383
45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3976,49,3882,4000,1566,63,1447,1695,0.39,17421,385,16682,18193,0.44,0.54,  564.67197,  503.3961344584,89%,39.49444716411517,-106.40496589444118,"  361,390.06","  322,173.52605337",State Bridge,12920,24,https://webmap.onxmaps.com/hunt/map#9.45/39.4944471641152/-106.404965894441
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3449,53,3346,3449,1084,56,979,1200,0.31,16586,521,15596,17639,0.39,0.56,"1,109.03334",  716.2278023312,65%,40.23015999963011,-105.97606297890532,"  709,781.34","  458,385.79349195",Middle Park,8560,31,https://webmap.onxmaps.com/hunt/map#9.45/40.2301599996301/-105.976062978905
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3449,53,3346,3449,1084,56,979,1200,0.31,16586,521,15596,17639,0.39,0.56,  338.26842,  180.6823033764,53%,40.20010138916104,-106.53017954993072,"  216,491.79","  115,636.67416087",Middle Park,8560,31,https://webmap.onxmaps.com/hunt/map#9.45/40.200101389161/-106.530179549931
